,groups,channels,windows,amplitudes
254,BMIDMOD,pz,win_3,2.032
255,BMIDMOD,pz,win_3,9.292
256,BMIDMOD,pz,win_3,0.511
257,BMIDMOD,pz,win_3,4.506
258,BMIDMOD,pz,win_3,0.546
259,BMIDMOD,pz,win_3,5.015
260,BMIDMOD,pz,win_3,1.974
261,BMIDMOD,pz,win_3,10.929
262,BMIDMOD,pz,win_3,5.823
263,BMIDMOD,pz,win_3,-2.162
264,BMIDMOD,pz,win_3,-1.398
265,BMIDMOD,pz,win_3,2.611
266,BMIDMOD,pz,win_3,7.36
267,BMIDMOD,pz,win_3,0.723
268,BMIDMOD,pz,win_3,-2.72
269,BMIDMOD,pz,win_3,5.698
270,BSD,fz,win_1,-6.439
271,BSD,fz,win_1,-0.032
272,BSD,fz,win_1,7.111
273,BSD,fz,win_1,-0.437
274,BSD,fz,win_1,0.031
275,BSD,fz,win_1,0.606
276,BSD,fz,win_1,-0.328
277,BSD,fz,win_1,3.157
278,BSD,fz,win_1,2.106
279,BSD,fz,win_1,4.063
280,BSD,fz,win_1,-3.118
281,BSD,fz,win_1,-2.594
282,BSD,fz,win_1,-1.606
283,BSD,fz,win_1,1.026
284,BSD,fz,win_1,-1.788
285,BSD,cz,win_1,-7.409
286,BSD,cz,win_1,-4.158
287,BSD,cz,win_1,5.251
288,BSD,cz,win_1,-2.56
289,BSD,cz,win_1,0.204
290,BSD,cz,win_1,0.616
291,BSD,cz,win_1,1.893
292,BSD,cz,win_1,1.798
293,BSD,cz,win_1,1.697
294,BSD,cz,win_1,2.732
295,BSD,cz,win_1,-3.491
296,BSD,cz,win_1,-5.435
297,BSD,cz,win_1,0.982
298,BSD,cz,win_1,-1.679
299,BSD,cz,win_1,-1.461
300,BSD,pz,win_1,-3.8
301,BSD,pz,win_1,-3.38
302,BSD,pz,win_1,1.838
303,BSD,pz,win_1,-2.402
304,BSD,pz,win_1,-0.263
305,BSD,pz,win_1,1.217
306,BSD,pz,win_1,-1.82
307,BSD,pz,win_1,4.134
308,BSD,pz,win_1,
309,BSD,pz,win_1,1.556
310,BSD,pz,win_1,-2.243
311,BSD,pz,win_1,-8.691
312,BSD,pz,win_1,1.041
313,BSD,pz,win_1,0.298
314,BSD,pz,win_1,-4.078
